date	Apr 29	Apr 28	Apr 27	Apr 26	Apr 25	Apr 24	Apr 23	Apr 22	Apr 21	Apr 20	Apr 19	Apr 18	Apr 17	Apr 16	Apr 15	Apr 14	Apr 13	Apr 12	Apr 11	Apr 10	Apr 9	Apr 8	Apr 7	Apr 6	Apr 5	Apr 4	Apr 3	Apr 2	Apr 1	Mar 31	Mar 30	Mar 29	Mar 28	Mar 27	Mar 26	Mar 25	Mar 24	Mar 23	Mar 22	Mar 21	Mar 20	Mar 19	Mar 18	Mar 17	Mar 16	Mar 15	Mar 14	Mar 13	Mar 12	Mar 11	Mar 10	Mar 9	Mar 8	Mar 7	Mar 6	Mar 5	Mar 4	Mar 3	Mar 2	Mar 1	Feb 28	Feb 27	Feb 26	Feb 25	Feb 24	Feb 23	Feb 22	Feb 21	Feb 20	Feb 19	Feb 18	Feb 17	Feb 16	Feb 15	Feb 14	Feb 13	Feb 12	Feb 11	Feb 10	Feb 9	Feb 8	Feb 7	Feb 6	Feb 5	Feb 4	Feb 3	Feb 2	Feb 1	Jan 31	Jan 30	Jan 29	Jan 28	Jan 27	Jan 26	Jan 25	Jan 24	Jan 23	Jan 22	Jan 21	Jan 20
Donald Trump						99.048			99.977	99.778	99.738	99.499	100.29			100.51	100.56	100.78	100.71	101.02			101.18	100.67	100.56	100.54	100.54			100.35	100.41	99.998	99.712	99.166			99.627	99.76	99.677	99.813	100.41			100.3	100.36	100.74	101.7	101.31			101.25	101.85	102.07	101.81	101.64			101.54	102.2	101.78	101.12	101.13			101.09	101.05	101.22	101.37	100.95			100.95	100.44	101.18	101.25	100.96			100.8	100.65	100.28	100.26	99.907			99.868	99.79	99.641	99.512	100.43			100.53	100.38	100.03	100.35	100.16			100.74
Barack Obama	84.474	85.158	85.696			84.714	85.517	86.191	86.579	86.637			85.981	85.227	85.081	84.642	84.635				85.786	85.361	85.288	84.571			84.165	84.446	85.503	85.43	85.869			85.111	84.165	83.808	83.858	83.426			83.841	83.129	84.595	86.933	86.946			87.428	87.66	87.868	88.927	89.009			88.512	89.105	88.577	88.91	88.94			88.008	87.727	87.906	86.895	87.24			86.488	87.439	88.007	87.581	86.66			86.041	86.547	85.776	85.807	84.792			85.346	86.057	85.702	85.05	86.073			85.999	85.277	84.672	84.426	84.727			85.608	85.52	85.817	86.216
George W Bush			115.62	114.46	115	115.23	114.77			114.32	114.61	116.19	116.36	116.18				115.54	116.13	116.02	115.21			114.75	115.47	115.08	115.63	117.34			117.37	116.61	116.01	115.4	115.21			115.94	116.3	115.53	114.11	115.2			115.32	114.71	113.7	113.11	111.97			111.44	111.49	111.83	111.12	111.54			111.17	111.28	112.01	112.34	112.77			112.03	113.34	113.02	112.82	111.9			112.26	113.2	112.04	112.01	111.19			111.52	112.08	111.13	110.7	109.95			110.32	109.93	110.52	111	111.92			111.46	111.41	111.81	110.34	110.14		
Bill Clinton	89.25	89.27	89.59	88.6			89.38	89.84	90.33	90.18	90.37			91.31	90.95	90.51	89.97	90.67			91.22	91.25	91.97	91.72	91.2			91.37	91.15	91.87	92.47	92.78			92.93	93.52	93.29	92.73	92.94			92.88	93.18	94.22	94.3	94.55			94.5	94.36	94.29	94.37	94.02			94.3	93.22	93.4	93.25	94.18			94.01	93.51	93.41	92.91	92.65			93.38	93.2	92.93	93.09	94.38			94.25	94.32	94.47	94.03	94.35			94.4	94.53	94.24	93.92	93.56			92.46	91.28	91.36	90.55	90.47			91.41	92.25	91.55
George HW Bush		97.72	97.47	97.55	97.02	96.81			96.38	96.31	96.85	96.42	96.77			96.96	97.28	97.75	97.87	97.68			97.56	97.29	97.13	96.92	97.29			98.22	97.89	98.2	98.24	97.65				97.05	96.78	97.05	96.93			97.29	96.9	96.97	96.45	96.83			96.57	96.27	96.65	96.22	96.18			95.78	96.02	95.67	94.91	94.99			94.64	94.73	95.15	95.39				94.92	95	95.06	95.09	96.09			96.43	95.53	96.53	96.61	96.57			96.74	96.77	96.8	96.75	96.04			96.19	95.48	95.11	95.24	94.83			95.11
Ronald Reagan	100.42	99.46	99.25			99.31	99.2	98.92	99.7	99.81			99.86	99.7	99.51	98.85	99.13			98.38	98	97.63	97.35	98.44			97.42	96.86	96.28	96.76	96.28			97.13	96.55	95.59	95.46	95.69			94.83	94.24	94.39	95.47	95.68			96.31	96.43	96.58	96.14	96.34			97.27	97.22	97.21	97.68	97.95			97.06	96.46	96.02	96.13	95.78			94.95	96.06	97.61	97.84				98.18		95.74	95.71	95.39			95.45	95.59	94.59	95.29	94.82			95.24	93.99	93.62	93.12	92.58			92.11	91.73	90.63	91.04
Jimmy Carter	104.39	104.42	104.57	104.75	104.67			104.76	104.72	104.83	104.66	104.54			104.52	104.54	104.45	104.53	104.74			104.85	104.89	104.9	104.91	105.04			104.93	105.03	104.95	104.99	104.88			105.08	105.09	104.99	105.08	105.11			105.26	105.27	105.33	105.39	105.34			105.45	105.5	105.39	105.28	105.27			105.24	105.14	105.17	105.28	105.26			105.29	105.51	105.29	105.24				105.22	105.23	105.28	105.32	105.08			105.39	105.42	105.43	105.64	105.63			105.78	105.79	105.69	105.7	105.54			106.01	105.91	105.83	105.89	105.74			105.46	105.47
