date	Apr 29	Apr 28	Apr 27	Apr 26	Apr 25	Apr 24	Apr 23	Apr 22	Apr 21	Apr 20	Apr 19	Apr 18	Apr 17	Apr 16	Apr 15	Apr 14	Apr 13	Apr 12	Apr 11	Apr 10	Apr 9	Apr 8	Apr 7	Apr 6	Apr 5	Apr 4	Apr 3	Apr 2	Apr 1	Mar 31	Mar 30	Mar 29	Mar 28	Mar 27	Mar 26	Mar 25	Mar 24	Mar 23	Mar 22	Mar 21	Mar 20	Mar 19	Mar 18	Mar 17	Mar 16	Mar 15	Mar 14	Mar 13	Mar 12	Mar 11	Mar 10	Mar 9	Mar 8	Mar 7	Mar 6	Mar 5	Mar 4	Mar 3	Mar 2	Mar 1	Feb 28	Feb 27	Feb 26	Feb 25	Feb 24	Feb 23	Feb 22	Feb 21	Feb 20	Feb 19	Feb 18	Feb 17	Feb 16	Feb 15	Feb 14	Feb 13	Feb 12	Feb 11	Feb 10	Feb 9	Feb 8	Feb 7	Feb 6	Feb 5	Feb 4	Feb 3	Feb 2	Feb 1	Jan 31	Jan 30	Jan 29	Jan 28	Jan 27	Jan 26	Jan 25	Jan 24	Jan 23	Jan 22	Jan 21	Jan 20
Jimmy Carter	95.6006614	95.36757895	95.1345033	94.3090221	94.34786934			95.6006614	96.87287465	97.50412841	97.18364478	97.64008937			98.12566769	98.08682045	97.27105276	97.26133925	96.02796547				95.51325342	95.08595032	95.18306405	95.39671948			96.3484491	95.58123438	95.69777609	96.8146072	96.14450718			96.20277463	96.82431391	97.30989223	98.08682045	98.38787707			98.92201613	99.13567156	99.22307178	99.03855687	98.4947043			97.74691757	97.76633682	97.21277754	97.960573	98.32960961			98.28104887	97.97027874	97.49441393	97.75663108	96.94085562			96.61066528	96.72719922	97.30018552	97.59152862				97.59152862	98.00912598	98.57239877	98.12566769	97.83431778			97.32931925	97.91201226	97.82461107	98.66951249	98.95114889			98.94143538	98.91230165	99.40759445	99.58240265	99.08711082			98.98999613	98.85403517	99.38816646	100.1553812	100.2719229			100.3399039	100
Ronald Reagan	101.0634326	102.0357069	102.9092307			102.6509724	101.7394668	101.8913825	101.9597433	102.8864437				102.3167513	101.9141695	100.7823768	101.1393848			102.1724277	102.2939644	102.0205121	101.7166807	101.7318641			102.9168334	103.5472945	103.737192	103.3042204	101.9977251			102.2787696	103.5093127	104.1473659	102.2939644	103.0687491			101.8458094	101.3748675	101.9521512	101.724272	102.3015565			101.1090065	101.1697745	98.70869952	99.09609795	99.59741814			98.63274737	98.69350469	99.39992933	99.1720501	100.2734531			99.71136345	98.82264484	97.62249135	96.76415101	96.73376666			96.14888551	96.17167244	97.59210168	97.08317799				96.45272221	96.83251714	97.40980695	98.1693968	98.19218374			99.20243977	98.46563685	97.67565656	97.57691823	96.39955168			98.40486814	98.92898666	99.00493881	99.59741814	98.62514388			98.92138392	98.94417086	99.77972426	100
George HW Bush		108.0277743	108.0068317	107.0822969	107.0195006	107.6963321			108.0172974	106.8241275	107.1590513	106.7648131	105.2646254			105.1390223	103.4085716	104.3121742	104.1377332	103.6562746			103.6737253	103.021318	103.3527491	103.0282918	103.4050901			102.8747828	102.0549084	101.9956044	101.7304507	101.3745951				100.8198744	101.3466786	101.6397383	101.147824			102.1142228	104.4691752	103.5027763	102.9689878	103.0317838			102.1805114	102.5468332	102.5991633	102.5259009	102.8538509			101.5874081	101.1582901	100.1674563	100.7779995	100.4151701			100.1744409	101.8909336	101.4932139	103.2620472				103.5341747	102.8538509	102.6549855	101.8072054	102.061893			101.8804675	103.2899532	104.1935557	104.5354638	103.2829794			103.6074367	103.5620803	103.6493008	103.7818776	102.9166468			102.508461	101.765341	100.8756969	100.648915	99.25687996			100
Bill Clinton	101.273743	101.0729848	101.0706821	100.0392307			100.8445449	101.4052648	102.3674943	102.7066966	103.2512625			103.5927746	103.4681679	103.5281651	103.6573843	103.4612456				101.9544503	102.159821	101.7975423	102.0582906			101.8506173	103.9065909	104.2227238	104.291946	104.0150435			103.3251042	104.0404297	103.3920235	103.5512415	103.5789303			103.8789021	104.2734892	103.4474013	104.1534948	104.1673393			103.7981384	104.695758	105.2980115	104.8526661	104.9241979			102.939749	103.2235737	103.6666163	103.352793	101.9936809			102.3098069	102.0698251	101.7306228	100.3299705	100.4315008			100.1961386	99.6607977	99.98384591	100.1246069				102.5867024	103.2974154	102.9674449	102.7597647	103.3412583			103.590465	103.7358385	103.1912724	102.1182807	102.1113584			101.2483568	101.220668	101.0937513	101.518337	101.5321815			100.6322519	100.4891882	100
George W Bush			93.30925807	91.92940635	91.49973773	90.06403674	91.17283216			92.55938326	93.35690808	92.20046257	88.7489789	87.8457095				88.13016448	86.8188245	87.00424336	84.71144133			84.02934201	85.74278952	82.15429148	82.3933235	85.32801955			86.40479077	85.48290494	85.88055837	88.03112837	85.83587165			84.87824377	83.22138179	83.56094981	85.086006	87.18519905			85.67503228	87.38997975	86.87988236	89.18460143	87.88145155			91.84749586	94.17975779	93.96753239	93.36510735	92.44247612			91.90409055	92.42906827	92.3330046	93.67338733	94.39645553			92.77384487	93.29212329	93.47456978	95.23716719				96.91935407	98.78695073	97.99091671	98.20537832	99.06247935			97.90453396	99.22779099	99.85032326	100.696998	100.8496563			100.4892357	102.2764127	101.7209015	102.2957745	101.5838871			100.8973063	101.0879429	101.593568	101.3031499	100		
Barack Obama	108.4970625	106.2020322	106.4938825			107.5768127	105.7996589	104.760192	105.5711542	103.3742387			107.9953314	107.4613173	105.8170474	104.5056047	106.6453902				106.3759009	102.4763422	101.2828814	103.7579804			104.6297944	103.6213749	100.7277572	99.08720893	97.803092			101.3313171	103.4326041	101.0754867	100.1117737	102.1981586			95.44472389	97.36966372	98.65005894	96.63446301	93.62534986			93.95569102	93.23414931	89.58545627	89.36688134	84.01803897			84.8687352	84.76565567	88.53108724	86.47699288	87.03460324			91.29058561	93.49370906	94.99267921	96.01600095	92.31390723			95.63225153	96.7362994	97.91361509	98.00675734				102.6849876	103.7219682	103.5418917	102.7247215	108.0313512			107.8711417	105.0458268	103.354364	104.1342789	102.5111189			102.5657627	104.957657	108.5529493	105.0284459	103.8933505			103.3195949	102.7669494	104.3491245	100
Donald Trump			105.1714649	105.1133487	105.1644205	104.5277835			103.4068445	103.7216408	102.9436757	103.120666	103.4209333				102.5377425	103.2413013	103.6309443	103.7797571			103.7084326	103.7942861	103.5944015	103.9118394	103.8537232			104.0245497	104.2596563	103.9545461	103.842276	103.0942496			103.1994752	103.2866496	103.3962779	103.2012363	104.4978449			104.7082961	104.846102	105.0169286	104.1447447	104.4978449			104.459541	104.1192087	104.0359968	104.2741854	104.5788554			104.9227098	104.8698769	105.4880223	104.065055	104.3340627			104.2279566	104.0725396	104.0289525	104.1416627				103.5155923	103.3421241	103.4314999	102.9176995	102.5069233			101.9719897	101.6096438	101.0284814	100.9584777	100.9355834			101.1495569	100.4200219	100.3627862	100.3328476	100.4222233			101.0293619	101.1169765	101.1913829	100.3856805	99.73099225			100
